order,start,end,chapter,section,visual_asset,visual_notes,on_screen_text,narration
11,2:23,2:33,,Peekaboo,assets/keynote-exports/05-peekaboo-variations.png,Stay on the labeled variation strip and crop into the baby's attention cues.,Watch for anticipation,"What you're watching for is anticipation: a smile before the reveal, body tension during the pause, or eyes going to the place they expected you to be."
12,2:33,2:48,,Peekaboo,assets/ai-stills/peekaboo-face-to-face.png,Return to the clean base plate for a softer landing.,Simple routines can be learned,The point is not that your baby understands the game in an adult sense. It's that even this simple social routine is already giving them a structure they can learn and predict.
13,2:48,2:54,Still-face,Still-face,assets/keynote-exports/06-still-face-title.png,Chapter title export built on the calm still-face setup plate.,Experiment 2: Still-face,"Experiment two is the still-face paradigm, and this one is optional because it's the most sensitive."
14,2:54,3:00,,Still-face,assets/ai-stills/still-face-neutral-setup.png,Neutral setup image only. No distress shown.,Optional • stop early,"Tronick's classic finding was that when a normally responsive parent suddenly goes neutral and unresponsive, babies protest quickly."
15,3:00,3:19,,Still-face,assets/keynote-exports/07-still-face-phases.png,Phase overlay built on the three-panel still-face strip.,Play • still-face • reunion,"The home version is simple: one minute of normal warm play, up to thirty seconds of still face, then immediate reunion. Even a brief neutral face can feel surprisingly long when you're the parent, which is why it helps to think of this as a tightly bounded observation, not an endurance exercise."
16,3:19,3:29,,Still-face,assets/keynote-exports/07-still-face-phases.png,Stay on the same overlay so the stop-early banner lands clearly.,Optional / stop early,"If your baby cries, turns red, or if you feel uncomfortable, stop right away. The reunion is not optional."
17,3:29,3:44,,Still-face,assets/ai-stills/still-face-neutral-setup.png,Return to the calm setup plate. Avoid anything that reads as harsh or dramatic.,Babies expect response,"What this shows is not anything about attachment quality or your relationship. It shows that by around four to five months, babies already expect social partners to respond contingently. When that pattern breaks, they notice."
18,3:44,3:46,Kick-to-move,Kick-to-move,assets/keynote-exports/08-kick-title.png,Chapter title export built on the wide play-gym room plate.,Experiment 3: Kick-to-move,Experiment three may be the most visually rewarding.
19,3:46,4:05,,Kick-to-move,assets/ai-stills/kick-wide-room.png,Wide supervised room shot only. Keep the parent visible in frame.,Full supervision,"In the classic mobile studies, babies learned that kicking made something interesting happen overhead. At home, the safest version uses a floor play gym, a soft ribbon, and full hands-on supervision. This one is especially satisfying because the change, if it happens, is often visible right in front of you."
20,4:05,4:14,,Kick-to-move,assets/keynote-exports/09-kick-safe-setup.png,Safe-setup overlay on the wide room plate. Keep callouts simple.,Baseline • contingent • disconnect,"First, watch two minutes of normal kicking with no connection. Then add a loose connection so kicking moves the toy. Then remove it again."
21,4:14,4:41,,Kick-to-move,assets/keynote-exports/10-kick-phases.png,"Use the labeled three-panel strip for baseline, connected, and disconnect phases.",Does behavior change across phases?,"The observation lives in the contrast between those phases. Does kicking become more deliberate when the toy responds? After you disconnect it, do you see a burst of kicks as if your baby is trying to make the effect happen again? You're not looking for a perfect laboratory effect. You're looking for a noticeable shift from random movement to movement that seems organized around the toy."
22,4:41,4:52,,Kick-to-move,assets/ai-stills/kick-wide-room.png,Return to the wide room plate for the interpretive caution.,"Contingency detection, not a diagnosis","That's contingency detection: noticing that when I do this, that happens. It's remarkable on its own. You don't need to inflate it into a claim about intelligence."
23,4:52,4:57,Imitation,Imitation,assets/keynote-exports/11-imitation-title.png,Chapter title export built on the imitation demo plate.,Experiment 4: Imitation,"Experiment four is imitation, and here the careful version matters."
24,4:57,5:04,,Imitation,assets/ai-stills/imitation-rattle-demo.png,Demonstration plate with the object clearly visible between caregiver and baby.,Stronger evidence comes later,"The flashy claim that newborns imitate faces has not held up especially well. The stronger evidence comes a little later, with object actions."
25,5:04,5:16,,Imitation,assets/keynote-exports/12-imitation-versions.png,Use the comparison overlay built on the delayed-sequence plate.,Immediate imitation,"Start with the easiest version: perform an unusual action with a rattle or cup three times, then hand it over and wait silently. A partial copy counts."
26,5:16,5:43,,Imitation,assets/keynote-exports/12-imitation-versions.png,Stay on the same comparison overlay while covering delay and object-return variants.,Delayed imitation,"For older babies, you can add a short delay: demonstrate, put the object away, do something else for ten minutes, then bring it back with no reminder. That delay matters because it separates simple copying in the moment from remembering an action later. The hardest and most famous version uses a puppet or mitten with a bell inside. After a delay, does the baby do something that makes it jingle?"
27,5:43,5:52,,Imitation,assets/ai-stills/imitation-delay-sequence.png,Return to the clean delayed-sequence plate and let the retention idea breathe.,Partial success still counts,What matters here is not perfect copying. It's whether your baby retained some representation of the action they saw.
28,5:52,5:57,Record and reflect,Record and reflect,assets/keynote-exports/13-record-reflect-title.png,Chapter title export built on the notebook plate.,Record what you saw,The difference between a home experiment and random play is how you write it down.
29,5:57,6:18,,Record and reflect,assets/ai-stills/observation-notebook.png,Warm notebook close-up. Add only the observation-versus-interpretation contrast as overlay if needed.,Observation > interpretation,"Record what you saw, not what you think it means. Baby kicked more during the connected phase is an observation. Baby understood cause and effect is an interpretation. The most honest notes are concrete: smiled before reveal, looked at center first, kicked more after disconnect, reached for the puppet after the delay."
30,6:18,6:42,,Record and reflect,assets/keynote-exports/14-observation-template.png,Use the Keynote note template built on the notebook plate.,Look for patterns across days,"Timing, temperament, and sheer luck are huge confounders. The same baby can look brilliant in the morning and bored in the afternoon. A single trial is interesting. A pattern across different days is much more informative. If you repeat the same setup on different days and start seeing the same pattern, that's when the observation becomes more persuasive."
31,6:42,6:50,Why this matters,Closing,assets/keynote-exports/15-end-card.png,"Start on the end card, then briefly cut through earlier Nano Banana plates before landing back here.",Prediction • social expectation • cause and effect • memory,What I love about these experiments is not that they prove something grand. It's that they make early cognition visible.
32,6:50,7:13,,Closing,assets/keynote-exports/15-end-card.png,"Use a short montage of hero, peekaboo, still-face, kick, and imitation plates before settling on the article CTA end card.",Read the full guide at rl-field-notes.vercel.app,"Peekaboo lets you watch prediction. Still-face reveals social expectation. Kick-to-move shows cause and effect. Imitation gives you a glimpse of memory. If you want the full article, diagrams, and study citations, I'll link it below. And if you end up trying one of these at home, the rule is simple: keep it safe, keep it short, and stay curious."
